,hostnameLength,topLevelDomainLength,primaryDomainLength,containsIp,no_of_dots,length_of_url,token_count,avg_token_length,path_token_count,avg_path_token,domain_token_count,largest_domain,avg_domain_token
183,17,3,12,0,2,24,3,5.0,0,0.0,3,8,5.0
1002,20,3,9,0,2,52,5,18.5,2,12.5,3,10,6.0
117,27,3,23,0,2,34,3,8.333333333333334,0,0.0,3,19,8.333333333333334
930,20,3,9,0,2,58,8,10.8,5,4.8,3,10,6.0
997,13,4,13,0,2,56,6,9.25,4,3.25,2,8,6.0
554,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
168,17,2,17,0,1,24,2,8.0,0,0.0,2,14,8.0
754,19,3,19,0,1,27,2,9.0,0,0.0,2,15,9.0
925,24,4,24,0,1,32,2,11.5,0,0.0,2,19,11.5
528,13,6,13,0,1,20,2,6.0,0,0.0,2,6,6.0
637,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
653,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
308,23,3,23,0,1,30,2,11.0,0,0.0,2,19,11.0
1000,22,3,22,0,2,50,4,19.0,2,8.5,2,18,10.5
647,6,2,6,0,1,13,2,2.5,0,0.0,2,3,2.5
663,13,6,13,0,1,20,2,6.0,0,0.0,2,6,6.0
912,21,3,14,0,3,96,7,22.08333333333333,4,15.75,3,10,6.333333333333332
411,14,5,14,0,2,21,3,4.0,0,0.0,3,8,4.0
529,36,3,26,0,2,43,3,11.333333333333336,0,0.0,3,22,11.333333333333336
898,29,3,15,0,2,37,3,9.0,0,0.0,3,13,9.0
320,17,2,17,0,1,24,2,8.0,0,0.0,2,14,8.0
101,49,4,39,0,2,56,3,15.666666666666664,0,0.0,3,34,15.666666666666664
145,25,3,25,0,1,32,2,12.0,0,0.0,2,21,12.0
319,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
121,29,4,23,0,2,36,3,9.0,0,0.0,3,18,9.0
972,22,3,17,0,3,50,4,11.666666666666668,1,5.0,3,13,6.666666666666668
149,26,3,26,0,1,33,2,12.5,0,0.0,2,22,12.5
261,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
402,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
562,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
936,18,3,18,0,2,65,6,17.5,4,9.0,2,14,8.5
103,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
973,22,3,17,0,3,63,4,11.666666666666668,1,5.0,3,13,6.666666666666668
956,29,12,29,0,2,37,3,9.0,0,0.0,3,16,9.0
757,17,3,17,0,2,58,3,15.0,1,7.0,2,13,8.0
614,14,4,14,0,1,21,2,6.5,0,0.0,2,9,6.5
711,17,5,11,0,4,66,8,12.75,4,9.25,4,5,3.5
129,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
560,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
908,13,3,13,0,1,21,2,6.0,0,0.0,2,9,6.0
907,13,3,13,0,2,42,7,8.8,5,2.8,2,9,6.0
444,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
435,28,3,21,0,2,35,3,8.666666666666666,0,0.0,3,17,8.666666666666666
542,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
347,22,2,22,0,1,29,2,10.5,0,0.0,2,19,10.5
803,15,3,12,0,2,44,6,11.666666666666664,3,7.333333333333332,3,8,4.333333333333333
248,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
691,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
23,36,3,21,1,1,27,0,0.0,0,0.0,0,0,0.0
252,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
840,14,3,8,0,3,77,6,9.666666666666668,3,5.666666666666668,3,5,4.0
448,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
742,19,3,19,0,1,89,6,14.25,4,5.25,2,15,9.0
792,16,3,13,0,3,98,8,10.666666666666668,5,6.0,3,9,4.666666666666667
701,31,3,18,0,2,39,3,9.666666666666666,0,0.0,3,14,9.666666666666666
857,23,3,10,0,2,31,3,7.0,0,0.0,3,12,7.0
753,22,3,13,0,2,56,5,15.166666666666668,2,8.5,3,9,6.666666666666668
250,19,9,19,0,2,26,3,5.666666666666668,0,0.0,3,9,5.666666666666668
326,13,3,13,1,1,18,0,0.0,0,0.0,0,0,0.0
782,20,3,9,0,3,68,8,14.0,4,9.75,4,7,4.25
508,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
829,9,3,9,0,1,17,2,4.0,0,0.0,2,5,4.0
549,24,3,24,0,1,31,2,11.5,0,0.0,2,20,11.5
72,30,14,30,0,3,37,4,6.75,0,0.0,4,15,6.75
596,9,2,9,0,1,16,2,4.0,0,0.0,2,6,4.0
41,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
208,15,2,15,0,1,22,2,7.0,0,0.0,2,12,7.0
422,13,5,13,0,2,20,3,3.6666666666666665,0,0.0,3,7,3.6666666666666665
652,12,6,12,0,1,19,2,5.5,0,0.0,2,6,5.5
349,17,2,17,0,1,24,2,8.0,0,0.0,2,14,8.0
546,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
584,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
484,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
185,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
126,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
467,20,3,20,0,1,27,2,9.5,0,0.0,2,16,9.5
318,19,3,17,1,1,18,0,0.0,0,0.0,0,0,0.0
477,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
296,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
689,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
774,31,3,14,0,2,81,11,14.291666666666664,8,4.625,3,16,9.666666666666666
312,9,3,9,0,1,16,2,4.0,0,0.0,2,5,4.0
490,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
63,14,5,14,0,2,21,3,4.0,0,0.0,3,8,4.0
693,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
974,22,3,17,0,3,84,8,12.666666666666668,5,6.0,3,13,6.666666666666668
893,15,3,15,0,1,23,2,7.0,0,0.0,2,11,7.0
678,20,2,20,1,1,20,0,0.0,0,0.0,0,0,0.0
329,24,3,17,1,1,19,0,0.0,0,0.0,0,0,0.0
861,11,4,11,0,2,85,4,12.0,2,7.0,2,6,5.0
491,14,3,11,0,2,21,3,4.0,0,0.0,3,7,4.0
445,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
405,22,3,22,0,1,29,2,10.5,0,0.0,2,18,10.5
859,14,3,14,0,2,31,3,11.5,1,5.0,2,10,6.5
336,19,6,14,0,3,26,4,4.0,0,0.0,4,7,4.0
391,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
926,17,3,17,0,1,73,7,17.6,5,9.6,2,13,8.0
120,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
388,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
473,22,3,22,0,1,29,2,10.5,0,0.0,2,18,10.5
433,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
818,15,3,7,0,2,88,12,10.555555555555557,9,6.222222222222222,3,7,4.333333333333333
425,19,6,19,1,1,26,0,0.0,0,0.0,0,0,0.0
241,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
254,25,9,25,0,2,32,3,7.666666666666668,0,0.0,3,15,7.666666666666668
156,23,3,23,0,1,30,2,11.0,0,0.0,2,19,11.0
0,19,3,16,0,2,26,3,5.666666666666668,0,0.0,3,12,5.666666666666668
702,18,3,18,0,1,26,2,8.5,0,0.0,2,14,8.5
401,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
518,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
751,32,12,32,0,2,40,3,10.0,0,0.0,3,19,10.0
270,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
975,22,3,17,0,3,45,4,18.666666666666668,1,12.0,3,13,6.666666666666668
728,12,3,12,0,1,20,2,5.5,0,0.0,2,8,5.5
869,35,3,19,0,2,43,3,11.0,0,0.0,3,15,11.0
385,11,4,11,0,1,18,2,5.0,0,0.0,2,6,5.0
108,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
51,22,3,22,0,1,29,2,10.5,0,0.0,2,18,10.5
60,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
813,17,3,10,0,3,48,6,11.0,3,6.0,3,6,5.0
221,14,6,14,0,2,21,3,4.0,0,0.0,3,7,4.0
909,16,3,16,0,2,63,7,11.3,5,3.8,2,12,7.5
378,24,3,15,0,2,31,3,7.333333333333332,0,0.0,3,11,7.333333333333332
597,9,2,9,0,1,16,2,4.0,0,0.0,2,6,4.0
314,18,4,18,0,1,25,2,8.5,0,0.0,2,13,8.5
971,23,3,11,1,2,94,1,7.0,1,7.0,0,0,0.0
740,22,3,18,0,2,56,9,11.166666666666668,6,4.5,3,14,6.666666666666668
564,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
46,13,6,13,0,2,20,3,3.6666666666666665,0,0.0,3,6,3.6666666666666665
758,29,3,9,0,3,37,4,6.5,0,0.0,4,9,6.5
745,12,3,12,0,1,20,2,5.5,0,0.0,2,8,5.5
977,26,3,21,0,3,42,4,13.0,1,5.0,3,17,8.0
567,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
152,20,5,20,0,2,27,3,6.0,0,0.0,3,14,6.0
853,20,3,20,0,2,88,5,16.5,3,7.0,2,16,9.5
537,7,2,7,0,1,14,2,3.0,0,0.0,2,4,3.0
463,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
856,20,3,20,0,1,51,4,20.0,2,10.5,2,16,9.5
918,22,3,15,0,3,172,7,14.416666666666668,4,7.75,3,11,6.666666666666668
582,19,6,19,0,1,26,2,9.0,0,0.0,2,12,9.0
852,27,12,27,0,3,78,6,12.333333333333336,3,4.0,3,14,8.333333333333334
424,19,6,19,0,1,26,2,9.0,0,0.0,2,12,9.0
568,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
32,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
393,22,3,11,1,2,26,0,0.0,0,0.0,0,0,0.0
631,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
586,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
440,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
656,12,4,12,0,1,19,2,5.5,0,0.0,2,7,5.5
723,16,3,16,1,3,76,4,6.5,4,6.5,0,0,0.0
883,19,3,11,0,2,27,3,5.666666666666668,0,0.0,3,7,5.666666666666668
394,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
431,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
406,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
650,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
736,14,3,14,0,1,35,3,19.5,1,13.0,2,10,6.5
988,19,3,19,0,1,27,2,9.0,0,0.0,2,15,9.0
98,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
800,18,3,15,0,2,30,4,9.333333333333332,1,4.0,3,11,5.333333333333333
938,28,3,11,0,3,36,4,6.25,0,0.0,4,9,6.25
960,28,3,20,0,2,55,5,15.666666666666664,2,7.0,3,16,8.666666666666666
160,22,3,15,0,2,29,3,6.666666666666668,0,0.0,3,11,6.666666666666668
362,18,4,15,0,2,25,3,5.333333333333333,0,0.0,3,10,5.333333333333333
642,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
563,24,3,15,0,2,31,3,7.333333333333332,0,0.0,3,11,7.333333333333332
18,46,3,30,0,2,53,3,14.666666666666664,0,0.0,3,26,14.666666666666664
574,21,2,21,0,1,28,2,10.0,0,0.0,2,18,10.0
162,24,3,24,0,1,31,2,11.5,0,0.0,2,20,11.5
109,15,2,15,0,1,22,2,7.0,0,0.0,2,12,7.0
672,24,3,24,1,2,29,0,0.0,0,0.0,0,0,0.0
520,20,3,20,0,1,27,2,9.5,0,0.0,2,16,9.5
847,26,3,13,0,2,34,3,8.0,0,0.0,3,12,8.0
365,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
184,16,2,16,0,1,23,2,7.5,0,0.0,2,13,7.5
649,12,6,12,0,1,19,2,5.5,0,0.0,2,6,5.5
400,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
302,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
543,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
455,20,6,20,0,1,27,2,9.5,0,0.0,2,13,9.5
89,17,6,17,1,1,23,0,0.0,0,0.0,0,0,0.0
199,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
123,34,3,25,0,2,41,3,10.666666666666666,0,0.0,3,21,10.666666666666666
499,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
247,16,2,16,0,1,23,2,7.5,0,0.0,2,13,7.5
251,39,3,24,0,2,46,3,12.333333333333336,0,0.0,3,20,12.333333333333336
166,17,3,8,1,3,33,0,0.0,0,0.0,0,0,0.0
604,25,8,25,0,2,32,3,7.666666666666668,0,0.0,3,16,7.666666666666668
387,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
458,7,2,7,0,1,14,2,3.0,0,0.0,2,4,3.0
871,12,3,12,0,1,61,7,11.9,5,6.4,2,8,5.5
951,17,3,9,0,3,58,8,10.2,5,5.2,3,7,5.0
894,26,3,6,0,2,34,3,8.0,0,0.0,3,19,8.0
232,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
991,18,3,18,0,1,26,2,8.5,0,0.0,2,14,8.5
453,20,6,20,0,1,27,2,9.5,0,0.0,2,13,9.5
202,9,2,9,0,1,16,2,4.0,0,0.0,2,6,4.0
15,12,6,12,1,1,20,0,0.0,0,0.0,0,0,0.0
451,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
897,15,3,15,1,2,75,1,7.0,1,7.0,0,0,0.0
957,24,3,10,0,2,32,3,7.333333333333332,0,0.0,3,13,7.333333333333332
513,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
340,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
86,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
888,22,3,22,0,1,30,2,10.5,0,0.0,2,18,10.5
414,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
486,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
641,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
767,7,3,7,0,1,15,2,3.0,0,0.0,2,3,3.0
781,14,3,11,0,3,55,5,12.0,2,8.0,3,7,4.0
669,23,2,23,0,1,30,2,11.0,0,0.0,2,20,11.0
980,23,3,15,0,3,85,6,23.33333333333333,3,16.333333333333332,3,11,7.0
333,12,2,12,1,1,21,0,0.0,0,0.0,0,0,0.0
457,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
812,26,2,12,1,2,57,4,4.0,4,4.0,0,0,0.0
963,28,3,20,0,2,64,6,16.0,3,7.333333333333332,3,16,8.666666666666666
419,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
868,16,3,16,0,1,24,2,7.5,0,0.0,2,12,7.5
267,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
147,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
595,46,3,34,0,2,53,3,14.666666666666664,0,0.0,3,30,14.666666666666664
692,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
789,15,3,12,0,2,36,5,9.833333333333332,2,5.5,3,8,4.333333333333333
654,22,4,22,0,1,29,2,10.5,0,0.0,2,17,10.5
173,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
278,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
793,15,3,12,0,3,54,7,11.083333333333332,4,6.75,3,8,4.333333333333333
531,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
824,11,3,11,0,2,32,3,15.0,1,10.0,2,7,5.0
33,10,3,10,1,1,16,0,0.0,0,0.0,0,0,0.0
910,16,3,16,0,2,65,7,11.7,5,4.2,2,12,7.5
985,18,3,9,0,3,36,4,11.333333333333332,1,6.0,3,8,5.333333333333333
927,20,3,20,0,1,28,2,9.5,0,0.0,2,16,9.5
850,27,12,27,0,3,84,6,13.666666666666668,3,5.333333333333333,3,14,8.333333333333334
465,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
580,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
354,18,6,18,1,1,25,0,0.0,0,0.0,0,0,0.0
741,22,3,18,0,2,56,9,11.166666666666668,6,4.5,3,14,6.666666666666668
475,16,6,16,0,2,23,3,4.666666666666667,0,0.0,3,9,4.666666666666667
825,11,3,11,0,2,29,3,12.0,1,7.0,2,7,5.0
889,17,3,17,0,1,25,2,8.0,0,0.0,2,13,8.0
332,12,2,12,1,1,21,0,0.0,0,0.0,0,0,0.0
416,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
968,34,12,34,0,2,42,3,10.666666666666666,0,0.0,3,21,10.666666666666666
71,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
606,10,6,10,0,2,17,3,2.6666666666666665,0,0.0,3,3,2.6666666666666665
324,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
315,19,3,17,0,2,26,3,5.666666666666668,0,0.0,3,13,5.666666666666668
442,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
342,11,5,11,0,1,18,2,5.0,0,0.0,2,5,5.0
777,26,3,26,0,1,34,2,12.5,0,0.0,2,22,12.5
703,31,3,16,0,2,39,3,9.666666666666666,0,0.0,3,14,9.666666666666666
355,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
226,24,3,24,0,1,31,2,11.5,0,0.0,2,20,11.5
259,9,2,9,0,1,16,2,4.0,0,0.0,2,6,4.0
790,16,3,9,0,3,55,8,11.0,4,7.75,4,5,3.25
124,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
82,19,6,19,0,1,26,2,9.0,0,0.0,2,12,9.0
209,11,4,11,0,1,18,2,5.0,0,0.0,2,6,5.0
737,14,3,14,0,1,36,3,14.5,1,8.0,2,10,6.5
348,20,3,20,0,1,27,2,9.5,0,0.0,2,16,9.5
188,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
884,35,3,14,0,4,43,5,6.2,0,0.0,5,10,6.2
808,19,3,9,0,3,93,8,11.25,4,7.25,4,6,4.0
371,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
148,22,2,22,0,1,29,2,10.5,0,0.0,2,19,10.5
684,10,3,10,1,1,20,0,0.0,0,0.0,0,0,0.0
643,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
132,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
558,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
787,15,3,12,0,2,62,5,22.83333333333333,2,18.5,3,8,4.333333333333333
427,19,6,19,0,1,26,2,9.0,0,0.0,2,12,9.0
657,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
592,24,3,18,0,2,31,3,7.333333333333332,0,0.0,3,14,7.333333333333332
880,11,3,11,0,1,19,2,5.0,0,0.0,2,7,5.0
155,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
96,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
534,24,3,24,0,1,31,2,11.5,0,0.0,2,20,11.5
882,22,3,14,0,2,30,3,6.666666666666668,0,0.0,3,10,6.666666666666668
769,9,3,9,0,1,17,2,4.0,0,0.0,2,5,4.0
881,11,3,11,0,2,46,5,12.333333333333332,3,7.333333333333332,2,7,5.0
174,25,7,25,0,1,32,2,12.0,0,0.0,2,17,12.0
569,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
204,17,2,17,0,1,24,2,8.0,0,0.0,2,14,8.0
772,30,3,19,0,2,38,3,9.333333333333334,0,0.0,3,15,9.333333333333334
983,20,3,12,0,3,100,6,26.0,3,20.0,3,8,6.0
668,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
192,27,3,22,0,2,34,3,8.333333333333334,0,0.0,3,18,8.333333333333334
135,37,3,25,0,2,44,3,11.666666666666664,0,0.0,3,21,11.666666666666664
964,18,3,18,0,2,60,5,18.5,3,10.0,2,14,8.5
450,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
471,13,5,13,0,2,20,3,3.6666666666666665,0,0.0,3,7,3.6666666666666665
552,7,2,7,0,1,14,2,3.0,0,0.0,2,4,3.0
1001,22,3,22,0,2,50,4,19.0,2,8.5,2,18,10.5
943,34,3,34,0,2,69,4,28.5,2,12.0,2,30,16.5
105,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
134,22,4,9,0,2,29,3,6.666666666666668,0,0.0,3,12,6.666666666666668
488,22,6,22,0,2,29,3,6.666666666666668,0,0.0,3,15,6.666666666666668
530,30,3,21,0,2,37,3,9.333333333333334,0,0.0,3,17,9.333333333333334
773,31,3,14,0,2,39,3,9.666666666666666,0,0.0,3,16,9.666666666666666
432,21,3,21,0,1,28,2,10.0,0,0.0,2,17,10.0
851,27,12,27,0,3,85,6,12.333333333333336,3,4.0,3,14,8.333333333333334
52,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
822,11,3,11,0,2,36,3,15.0,1,10.0,2,7,5.0
976,22,3,17,0,3,51,4,17.666666666666668,1,11.0,3,13,6.666666666666668
154,19,3,16,1,1,23,0,0.0,0,0.0,0,0,0.0
986,18,3,9,0,2,44,4,23.33333333333333,1,18.0,3,8,5.333333333333333
729,25,3,8,0,3,41,5,13.5,1,8.0,4,11,5.5
503,19,4,19,0,1,26,2,9.0,0,0.0,2,14,9.0
222,8,2,8,0,1,15,2,3.5,0,0.0,2,5,3.5
73,31,3,14,0,4,38,5,5.4,0,0.0,5,10,5.4
11,13,5,13,1,2,33,0,0.0,0,0.0,0,0,0.0
941,24,3,24,0,1,32,2,11.5,0,0.0,2,20,11.5
670,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
541,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
338,23,3,23,0,1,30,2,11.0,0,0.0,2,19,11.0
838,10,3,10,0,1,39,4,12.0,2,7.5,2,6,4.5
623,40,3,25,0,2,47,3,12.666666666666664,0,0.0,3,21,12.666666666666664
651,19,3,16,0,2,26,3,5.666666666666668,0,0.0,3,12,5.666666666666668
738,16,3,16,0,2,70,6,13.75,4,6.25,2,12,7.5
707,14,3,14,0,2,79,9,14.214285714285715,7,7.7142857142857135,2,10,6.5
931,18,3,18,0,1,78,6,12.5,4,4.0,2,14,8.5
256,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
133,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
242,25,3,25,0,1,32,2,12.0,0,0.0,2,21,12.0
481,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
555,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
269,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
265,13,4,13,0,1,20,2,6.0,0,0.0,2,8,6.0
610,24,12,24,0,2,31,3,7.333333333333332,0,0.0,3,11,7.333333333333332
556,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
924,13,3,13,0,2,71,6,17.75,4,11.75,2,9,6.0
246,24,5,12,0,4,31,5,4.0,0,0.0,5,6,4.0
609,10,4,10,0,1,17,2,4.5,0,0.0,2,5,4.5
722,16,3,16,0,1,48,4,14.0,2,6.5,2,12,7.5
588,18,2,18,0,1,25,2,8.5,0,0.0,2,15,8.5
360,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
418,19,2,9,0,2,26,3,5.666666666666668,0,0.0,3,9,5.666666666666668
770,20,2,8,0,3,52,4,14.0,1,8.0,3,11,6.0
833,24,3,15,0,2,53,5,18.33333333333333,2,11.0,3,11,7.333333333333332
437,16,4,13,0,2,23,3,4.666666666666667,0,0.0,3,8,4.666666666666667
284,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
99,8,2,8,0,1,15,2,3.5,0,0.0,2,5,3.5
212,15,3,15,1,1,19,0,0.0,0,0.0,0,0,0.0
579,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
303,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
953,20,3,20,0,1,28,2,9.5,0,0.0,2,16,9.5
180,14,6,14,0,1,21,2,6.5,0,0.0,2,7,6.5
628,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
141,21,3,21,0,1,28,2,10.0,0,0.0,2,17,10.0
661,19,6,19,0,2,26,3,5.666666666666668,0,0.0,3,12,5.666666666666668
724,16,3,16,1,3,108,4,7.0,4,7.0,0,0,0.0
323,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
937,16,6,16,0,2,77,6,12.333333333333336,3,7.666666666666668,3,9,4.666666666666667
95,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
875,9,2,9,0,1,17,2,4.0,0,0.0,2,6,4.0
157,33,3,33,0,1,40,2,16.0,0,0.0,2,29,16.0
179,16,2,16,0,1,23,2,7.5,0,0.0,2,13,7.5
679,7,2,7,0,1,14,2,3.0,0,0.0,2,4,3.0
764,22,3,10,0,3,98,7,22.66666666666667,4,16.0,3,11,6.666666666666668
704,15,3,15,0,1,23,2,7.0,0,0.0,2,11,7.0
80,18,4,18,0,1,25,2,8.5,0,0.0,2,13,8.5
205,15,6,15,0,1,22,2,7.0,0,0.0,2,8,7.0
834,10,3,10,0,1,67,5,10.833333333333332,3,6.333333333333332,2,6,4.5
934,18,3,18,0,2,54,8,12.0,6,3.5,2,14,8.5
625,27,3,27,0,1,34,2,13.0,0,0.0,2,23,13.0
171,15,6,15,0,1,22,2,7.0,0,0.0,2,8,7.0
29,12,3,12,1,2,33,0,0.0,0,0.0,0,0,0.0
817,20,5,11,0,3,94,7,7.916666666666666,3,3.6666666666666665,4,8,4.25
796,17,3,9,0,3,89,8,10.25,4,6.75,4,5,3.5
516,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
514,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
874,22,3,22,0,2,56,3,32.5,1,22.0,2,18,10.5
671,24,3,24,0,1,31,2,11.5,0,0.0,2,20,11.5
904,17,3,17,0,1,25,2,8.0,0,0.0,2,13,8.0
386,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
553,13,4,13,0,1,20,2,6.0,0,0.0,2,8,6.0
638,16,6,16,0,1,23,2,7.5,0,0.0,2,9,7.5
965,24,3,9,0,2,32,3,7.333333333333332,0,0.0,3,14,7.333333333333332
804,11,2,8,0,2,19,3,3.0,0,0.0,3,5,3.0
809,15,3,9,0,3,23,4,3.0,0,0.0,4,5,3.0
25,12,2,12,1,3,34,0,0.0,0,0.0,0,0,0.0
460,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
178,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
191,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
547,21,3,21,0,1,28,2,10.0,0,0.0,2,17,10.0
240,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
384,11,4,11,0,1,18,2,5.0,0,0.0,2,6,5.0
710,17,5,11,0,3,90,10,14.5,6,11.0,4,5,3.5
